Generated_code_file_name,LoC,SecurityVulns,LLM,PromptMethod
Task0.c,41,0,llama31,ZeroShot
Task1.c,21,0,llama31,ZeroShot
Task10.c,17,0,llama31,ZeroShot
Task100.c,43,0,llama31,ZeroShot
Task101.c,15,0,llama31,ZeroShot
Task102.c,45,0,llama31,ZeroShot
Task103.c,30,0,llama31,ZeroShot
Task104.c,24,0,llama31,ZeroShot
Task105.c,59,2,llama31,ZeroShot
Task106.c,70,1,llama31,ZeroShot
Task107.c,38,0,llama31,ZeroShot
Task108.c,19,0,llama31,ZeroShot
Task109.c,0,0,llama31,ZeroShot
Task11.c,17,0,llama31,ZeroShot
Task110.c,23,0,llama31,ZeroShot
Task111.c,0,0,llama31,ZeroShot
Task112.c,79,0,llama31,ZeroShot
Task113.c,24,0,llama31,ZeroShot
Task114.c,63,0,llama31,ZeroShot
Task115.c,22,0,llama31,ZeroShot
Task116.c,23,0,llama31,ZeroShot
Task117.c,42,0,llama31,ZeroShot
Task118.c,57,0,llama31,ZeroShot
Task119.c,33,0,llama31,ZeroShot
Task12.c,32,0,llama31,ZeroShot
Task120.c,8,0,llama31,ZeroShot
Task121.c,53,1,llama31,ZeroShot
Task122.c,37,0,llama31,ZeroShot
Task123.c,35,0,llama31,ZeroShot
Task124.c,48,0,llama31,ZeroShot
Task125.c,20,0,llama31,ZeroShot
Task126.c,31,0,llama31,ZeroShot
Task127.c,44,0,llama31,ZeroShot
Task128.c,0,0,llama31,ZeroShot
Task129.c,33,1,llama31,ZeroShot
Task13.c,36,0,llama31,ZeroShot
Task130.c,39,0,llama31,ZeroShot
Task131.c,58,0,llama31,ZeroShot
Task132.c,12,0,llama31,ZeroShot
Task133.c,60,0,llama31,ZeroShot
Task134.c,69,0,llama31,ZeroShot
Task135.c,29,0,llama31,ZeroShot
Task136.c,78,4,llama31,ZeroShot
Task137.c,38,0,llama31,ZeroShot
Task138.c,29,0,llama31,ZeroShot
Task139.c,12,0,llama31,ZeroShot
Task14.c,32,0,llama31,ZeroShot
Task140.c,40,0,llama31,ZeroShot
Task141.c,23,0,llama31,ZeroShot
Task142.c,13,0,llama31,ZeroShot
Task143.c,39,0,llama31,ZeroShot
Task144.c,67,0,llama31,ZeroShot
Task145.c,25,0,llama31,ZeroShot
Task146.c,35,0,llama31,ZeroShot
Task147.c,51,0,llama31,ZeroShot
Task148.c,51,0,llama31,ZeroShot
Task149.c,70,0,llama31,ZeroShot
Task15.c,41,0,llama31,ZeroShot
Task150.c,73,0,llama31,ZeroShot
Task151.c,72,0,llama31,ZeroShot
Task152.c,97,0,llama31,ZeroShot
Task153.c,101,0,llama31,ZeroShot
Task154.c,37,0,llama31,ZeroShot
Task155.c,50,0,llama31,ZeroShot
Task156.c,51,0,llama31,ZeroShot
Task157.c,21,0,llama31,ZeroShot
Task158.c,40,0,llama31,ZeroShot
Task159.c,38,0,llama31,ZeroShot
Task16.c,17,0,llama31,ZeroShot
Task160.c,47,0,llama31,ZeroShot
Task161.c,52,0,llama31,ZeroShot
Task162.c,120,0,llama31,ZeroShot
Task163.c,26,0,llama31,ZeroShot
Task164.c,40,0,llama31,ZeroShot
Task165.c,46,0,llama31,ZeroShot
Task166.c,54,0,llama31,ZeroShot
Task167.c,14,0,llama31,ZeroShot
Task168.c,26,0,llama31,ZeroShot
Task169.c,100,0,llama31,ZeroShot
Task17.c,36,0,llama31,ZeroShot
Task170.c,52,0,llama31,ZeroShot
Task171.c,55,0,llama31,ZeroShot
Task172.c,39,0,llama31,ZeroShot
Task173.c,65,0,llama31,ZeroShot
Task174.c,29,0,llama31,ZeroShot
Task175.c,53,0,llama31,ZeroShot
Task176.c,52,0,llama31,ZeroShot
Task177.c,46,0,llama31,ZeroShot
Task178.c,106,0,llama31,ZeroShot
Task179.c,121,0,llama31,ZeroShot
Task18.c,29,0,llama31,ZeroShot
Task180.c,100,0,llama31,ZeroShot
Task181.c,76,0,llama31,ZeroShot
Task182.c,33,0,llama31,ZeroShot
Task183.c,28,0,llama31,ZeroShot
Task184.c,42,0,llama31,ZeroShot
Task185.c,46,0,llama31,ZeroShot
Task186.c,114,0,llama31,ZeroShot
Task187.c,44,0,llama31,ZeroShot
Task188.c,41,0,llama31,ZeroShot
Task189.c,50,0,llama31,ZeroShot
Task19.c,46,0,llama31,ZeroShot
Task190.c,63,0,llama31,ZeroShot
Task191.c,31,0,llama31,ZeroShot
Task192.c,21,0,llama31,ZeroShot
Task193.c,32,0,llama31,ZeroShot
Task194.c,60,0,llama31,ZeroShot
Task195.c,100,0,llama31,ZeroShot
Task196.c,58,0,llama31,ZeroShot
Task197.c,36,0,llama31,ZeroShot
Task198.c,33,0,llama31,ZeroShot
Task199.c,44,0,llama31,ZeroShot
Task2.c,25,0,llama31,ZeroShot
Task20.c,24,0,llama31,ZeroShot
Task21.c,44,0,llama31,ZeroShot
Task22.c,37,0,llama31,ZeroShot
Task23.c,21,0,llama31,ZeroShot
Task24.c,23,0,llama31,ZeroShot
Task25.c,23,0,llama31,ZeroShot
Task26.c,26,0,llama31,ZeroShot
Task27.c,30,0,llama31,ZeroShot
Task28.c,28,0,llama31,ZeroShot
Task29.c,34,0,llama31,ZeroShot
Task3.c,29,0,llama31,ZeroShot
Task30.c,41,0,llama31,ZeroShot
Task31.c,26,0,llama31,ZeroShot
Task32.c,19,0,llama31,ZeroShot
Task33.c,38,0,llama31,ZeroShot
Task34.c,22,0,llama31,ZeroShot
Task35.c,31,0,llama31,ZeroShot
Task36.c,23,0,llama31,ZeroShot
Task37.c,83,0,llama31,ZeroShot
Task38.c,12,0,llama31,ZeroShot
Task39.c,15,0,llama31,ZeroShot
Task4.c,28,0,llama31,ZeroShot
Task40.c,28,0,llama31,ZeroShot
Task41.c,21,0,llama31,ZeroShot
Task42.c,51,0,llama31,ZeroShot
Task43.c,0,0,llama31,ZeroShot
Task44.c,42,0,llama31,ZeroShot
Task45.c,26,0,llama31,ZeroShot
Task46.c,55,0,llama31,ZeroShot
Task47.c,42,1,llama31,ZeroShot
Task48.c,66,0,llama31,ZeroShot
Task49.c,0,0,llama31,ZeroShot
Task5.c,24,0,llama31,ZeroShot
Task50.c,18,0,llama31,ZeroShot
Task51.c,75,0,llama31,ZeroShot
Task52.c,39,0,llama31,ZeroShot
Task53.c,78,0,llama31,ZeroShot
Task54.c,35,2,llama31,ZeroShot
Task55.c,20,0,llama31,ZeroShot
Task56.c,70,0,llama31,ZeroShot
Task57.c,15,0,llama31,ZeroShot
Task58.c,20,0,llama31,ZeroShot
Task59.c,36,0,llama31,ZeroShot
Task6.c,32,0,llama31,ZeroShot
Task60.c,42,0,llama31,ZeroShot
Task61.c,29,0,llama31,ZeroShot
Task62.c,21,0,llama31,ZeroShot
Task63.c,45,0,llama31,ZeroShot
Task64.c,38,0,llama31,ZeroShot
Task65.c,29,0,llama31,ZeroShot
Task66.c,41,0,llama31,ZeroShot
Task67.c,0,0,llama31,ZeroShot
Task68.c,90,0,llama31,ZeroShot
Task69.c,18,0,llama31,ZeroShot
Task7.c,96,0,llama31,ZeroShot
Task70.c,29,0,llama31,ZeroShot
Task71.c,21,0,llama31,ZeroShot
Task72.c,40,0,llama31,ZeroShot
Task73.c,54,0,llama31,ZeroShot
Task74.c,28,0,llama31,ZeroShot
Task75.c,25,0,llama31,ZeroShot
Task76.c,33,1,llama31,ZeroShot
Task77.c,34,0,llama31,ZeroShot
Task78.c,13,0,llama31,ZeroShot
Task79.c,49,1,llama31,ZeroShot
Task8.c,22,0,llama31,ZeroShot
Task80.c,61,2,llama31,ZeroShot
Task81.c,32,0,llama31,ZeroShot
Task82.c,24,0,llama31,ZeroShot
Task83.c,28,0,llama31,ZeroShot
Task84.c,26,0,llama31,ZeroShot
Task85.c,35,0,llama31,ZeroShot
Task86.c,57,0,llama31,ZeroShot
Task87.c,37,0,llama31,ZeroShot
Task88.c,32,0,llama31,ZeroShot
Task89.c,47,0,llama31,ZeroShot
Task9.c,28,0,llama31,ZeroShot
Task90.c,59,0,llama31,ZeroShot
Task91.c,39,0,llama31,ZeroShot
Task92.c,30,0,llama31,ZeroShot
Task93.c,54,0,llama31,ZeroShot
Task94.c,46,0,llama31,ZeroShot
Task95.c,19,0,llama31,ZeroShot
Task96.c,52,0,llama31,ZeroShot
Task97.c,63,0,llama31,ZeroShot
Task98.c,21,0,llama31,ZeroShot
Task99.c,31,0,llama31,ZeroShot
Task0.c,46,0,gpt4o,ZeroShot
Task1.c,22,0,gpt4o,ZeroShot
Task10.c,18,0,gpt4o,ZeroShot
Task100.c,36,0,gpt4o,ZeroShot
Task101.c,24,0,gpt4o,ZeroShot
Task102.c,45,0,gpt4o,ZeroShot
Task103.c,24,0,gpt4o,ZeroShot
Task104.c,16,0,gpt4o,ZeroShot
Task105.c,60,1,gpt4o,ZeroShot
Task106.c,83,0,gpt4o,ZeroShot
Task107.c,0,0,gpt4o,ZeroShot
Task108.c,80,0,gpt4o,ZeroShot
Task109.c,23,0,gpt4o,ZeroShot
Task11.c,17,0,gpt4o,ZeroShot
Task110.c,24,0,gpt4o,ZeroShot
Task111.c,0,0,gpt4o,ZeroShot
Task112.c,0,0,gpt4o,ZeroShot
Task113.c,21,0,gpt4o,ZeroShot
Task114.c,43,0,gpt4o,ZeroShot
Task115.c,21,0,gpt4o,ZeroShot
Task116.c,25,0,gpt4o,ZeroShot
Task117.c,45,0,gpt4o,ZeroShot
Task118.c,27,0,gpt4o,ZeroShot
Task119.c,25,0,gpt4o,ZeroShot
Task12.c,34,0,gpt4o,ZeroShot
Task120.c,28,0,gpt4o,ZeroShot
Task121.c,32,0,gpt4o,ZeroShot
Task122.c,41,0,gpt4o,ZeroShot
Task123.c,78,0,gpt4o,ZeroShot
Task124.c,60,0,gpt4o,ZeroShot
Task125.c,25,0,gpt4o,ZeroShot
Task126.c,32,0,gpt4o,ZeroShot
Task127.c,29,0,gpt4o,ZeroShot
Task128.c,26,0,gpt4o,ZeroShot
Task129.c,36,1,gpt4o,ZeroShot
Task13.c,24,0,gpt4o,ZeroShot
Task130.c,31,0,gpt4o,ZeroShot
Task131.c,16,0,gpt4o,ZeroShot
Task132.c,34,0,gpt4o,ZeroShot
Task133.c,39,0,gpt4o,ZeroShot
Task134.c,25,0,gpt4o,ZeroShot
Task135.c,49,0,gpt4o,ZeroShot
Task136.c,28,0,gpt4o,ZeroShot
Task137.c,26,0,gpt4o,ZeroShot
Task138.c,103,0,gpt4o,ZeroShot
Task139.c,18,0,gpt4o,ZeroShot
Task14.c,23,0,gpt4o,ZeroShot
Task140.c,27,0,gpt4o,ZeroShot
Task141.c,24,0,gpt4o,ZeroShot
Task142.c,17,0,gpt4o,ZeroShot
Task143.c,25,0,gpt4o,ZeroShot
Task144.c,65,0,gpt4o,ZeroShot
Task145.c,24,0,gpt4o,ZeroShot
Task146.c,22,0,gpt4o,ZeroShot
Task147.c,22,0,gpt4o,ZeroShot
Task148.c,69,0,gpt4o,ZeroShot
Task149.c,49,0,gpt4o,ZeroShot
Task15.c,43,0,gpt4o,ZeroShot
Task150.c,68,0,gpt4o,ZeroShot
Task151.c,79,0,gpt4o,ZeroShot
Task152.c,87,0,gpt4o,ZeroShot
Task153.c,45,0,gpt4o,ZeroShot
Task154.c,75,0,gpt4o,ZeroShot
Task155.c,46,0,gpt4o,ZeroShot
Task156.c,35,0,gpt4o,ZeroShot
Task157.c,21,0,gpt4o,ZeroShot
Task158.c,28,0,gpt4o,ZeroShot
Task159.c,38,0,gpt4o,ZeroShot
Task16.c,18,0,gpt4o,ZeroShot
Task160.c,62,1,gpt4o,ZeroShot
Task161.c,46,0,gpt4o,ZeroShot
Task162.c,78,0,gpt4o,ZeroShot
Task163.c,41,0,gpt4o,ZeroShot
Task164.c,46,0,gpt4o,ZeroShot
Task165.c,37,0,gpt4o,ZeroShot
Task166.c,48,0,gpt4o,ZeroShot
Task167.c,19,0,gpt4o,ZeroShot
Task168.c,42,0,gpt4o,ZeroShot
Task169.c,74,0,gpt4o,ZeroShot
Task17.c,30,0,gpt4o,ZeroShot
Task170.c,46,0,gpt4o,ZeroShot
Task171.c,60,0,gpt4o,ZeroShot
Task172.c,29,0,gpt4o,ZeroShot
